time,Ia,Ib,Ic,Vab,Torque,Speed,Category
-1.26E-15,-0.02021135,-3.584578963,-4.712822204,0.986576452,-0.049038764,-0.022881847,OLF
0.35,39.68390267,19.00617741,24.96323795,362.8041645,-0.09869072,-1.098815273,PTGF
0.075124792,4.00E-05,2.78E-05,3.06E-05,1.36E-07,2.817946499,0.032558459,OLF
-1.26E-15,-2.694326449,-3.012694662,-1.211015785,3.346673358,-0.065431677,-0.012803449,NOM
0.35,13.04960112,13.04963964,13.04962857,474.9948386,27.78912159,146.5499103,NOM
0.086746758,0.001602068,0.001899287,0.002412124,3.10E-06,17.12964924,2.062639421,PTPF
0.5,14.27596097,14.27632063,14.27855722,474.5640955,37.04641356,145.3377791,NOM
-1.26E-15,-2.648491418,-3.137032401,-1.348977379,3.382268014,-0.064967176,-0.012880478,NOM
0.35,12.32614082,12.32618337,12.32612338,474.567398,26.13363835,147.2725078,NOM
-1.26E-15,-4.441460319,1.716506821,2.748227402,1.453132055,0.893238204,-0.357881285,PTGF
0.5,13.79012725,13.79080763,13.79380582,474.5649126,36.02503608,145.8363591,NOM
-1.26E-15,-3.186703318,-0.673896977,0.60558469,3.088844138,-0.069315013,-0.013584145,NOM
0.2,10.38073141,10.38152049,10.38356382,474.5708064,14.52540269,149.1663835,NOM
0.35,13.30221247,13.30224933,13.30223882,474.5657249,28.32557142,146.2807494,NOM
0.075124792,0.000842099,0.001117768,0.001329453,1.75E-06,16.13895596,1.956679909,PTPF
-1.26E-15,-3.144036599,-1.711268316,-0.05773994,3.223894188,-0.067561092,-0.012895796,NOM
0.5,73.97287717,41.38559466,45.93482648,362.4336117,466.4242813,106.6011167,PTGF
0.5,19.50242658,19.50187375,19.50239076,303.0793459,25.54695253,125.6209224,UVF
-1.26E-15,1.370563134,-2.049698837,-0.832723842,-0.343197089,-0.071032668,0.043773593,OVF
0.007525,5.63E-09,8.90E-09,6.52E-09,4.94E-14,11.33821246,0.001229034,OLF
0.007525,5.58E-07,5.58E-07,5.78E-07,5.87E-13,1.681573188,0.000166119,UVF
0.2,13.78433242,13.78315011,13.78354417,474.5648983,22.56187856,145.725676,NOM
0.086746758,10.90957534,2.002629877,4.675895967,0.009099262,120.8608548,26.14405064,PTGF
0.35,10.62596964,10.62604085,10.62598583,474.9990845,22.14032536,149.0060157,NOM
-1.26E-15,-0.489241241,-1.297420582,0.582501323,1.532067873,-0.072926633,-0.797736878,OVF
0.075124792,0.000698057,0.000788779,0.000849984,1.69E-06,3.013707149,0.039425145,NOM
0.2,11.68196173,11.68179266,11.68150191,389.6932952,15.87068571,145.298523,UVF
0.35,19.49830283,19.49830545,19.49830655,303.0793452,23.27716124,125.6033,UVF
0.086746758,0.001650191,0.001993062,0.001941359,4.12E-06,3.664902925,0.040579273,NOM
0.007525,4.42E-06,6.67E-06,5.97E-06,2.95E-11,13.57233126,0.001675875,NOM
0.5,24.08367642,24.08365314,24.0836101,474.9774803,54.50901564,134.4183725,OLF
-1.26E-15,2.675723328,-4.713454761,1.922129233,-2.333388021,0.575324015,0.286381137,PTGF
-1.26E-15,-1.329646355,-4.96415668,2.092543666,-3.7207297,0.005892291,0.006015864,PTPF
0.007525,4.00E-06,3.97E-06,4.69E-06,2.67E-12,269.9314371,3.91893916,PTPF
0.075124792,0.000393026,0.000343194,0.000404904,8.83E-07,2.97106075,0.03843393,NOM
